time,point_id,x,y,z,vx,vy,vz
0.0,0,0,0,0,0,0,0
0.0,1,2.0,0.0,0,0,0,0
0.0,2,3.5,0.0,0,0,0,0
0.0,3,4.5,0.0,0,0,0,0
0.01680672268907563,0,0,0,0,0.0,0.0,0
0.01680672268907563,1,1.9999806401217777,0.008799951027380164,0,-0.0011519127542283236,0.5235970861291198,0
0.01680672268907563,2,3.4999225607682147,0.021999749793965222,0,-0.004607634291223572,1.3089851127409309,0
0.01680672268907563,3,4.4998354424406255,0.0351993356047241,0,-0.009791174782782797,2.094360468481084,0
0.03361344537815126,0,0,0,0,0.0,0.0,0
0.03361344537815126,1,1.9999225608619158,0.01759973168878008,0,-0.003455715961782957,0.5235869493532949,0
0.03361344537815126,2,3.499690247945278,0.04399830704091082,0,-0.013822612964745407,1.308914156193263,0
0.03361344537815126,3,4.499341789814126,0.07039517881074717,0,-0.029372331276698915,2.094152670758372,0
0.05042016806722689,0,0,0,0,0.0,0.0,0
0.05042016806722689,1,1.9998257633448213,0.02639917162151775,0,-0.00575945226712038,0.5235666759978914,0
0.05042016806722689,2,3.4993030761480943,0.06599447927627226,0,-0.02303672193241857,1.308772248004006,0
0.05042016806722689,3,4.498519102272382,0.10558403770254171,0,-0.04894990873381255,2.0937371040617756,0
0.06722689075630252,0,0,0,0,0.0,0.0,0
0.06722689075630252,1,1.999690249444483,0.03519810046950766,0,-0.008063077070127656,0.5235362664553995,0
0.06722689075630252,2,3.498761069736987,0.08798707420038898,0,-0.03224938146089418,1.3085593979849448,0
0.06722689075630252,3,4.497367480058521,0.14076242133085137,0,-0.0685215217247297,2.093113825884425,0
0.08403361344537814,0,0,0,0,0.0,0.0,0
0.08403361344537814,1,1.999516021784433,0.043996347886558825,0,-0.010366545772977465,0.5234957213145445,0
0.08403361344537814,2,3.4980642628139167,0.10997489976094085,0,-0.04146001192267512,1.3082756208528363,0
0.08403361344537814,3,4.495887063491922,0.17592684019563626,0,-0.08808478571263567,2.0922829224547006,0
0.10084033613445378,0,0,0,0,0.0,0.0,0
0.10084033613445378,1,1.9993030837376977,0.05279374353967268,0,-0.01266981378074905,0.5234450413602744,0
0.10084033613445378,2,3.497212699219998,0.13195676423536623,0,-0.050668033838155546,1.30792093622831,0
0.10084033613445378,3,4.494078032947224,0.21107380672879078,0,-0.1076373174095342,2.0912445087226943,0
0.11764705882352941,0,0,0,0,0.0,0.0,0
0.11764705882352941,1,1.9990514394267318,0.061590117112340706,0,-0.014972836502471942,0.5233842275737477,0
0.11764705882352941,2,3.496206432532298,0.15393147631325496,0,-0.059872867918162376,1.3074953686343795,0
0.11764705882352941,3,4.491940608827332,0.24619983577655696,0,-0.12717673513354333,2.089998728342088,0
0.13445378151260504,0,0,0,0,0.0,0.0,0
0.13445378151260504,1,1.9987610937233384,0.07038529830784175,0,-0.01727556935190544,0.5233132811323122,0
0.13445378151260504,2,3.4950455260599256,0.17589784517871065,0,-0.06907393510615334,1.3069989474946138,0
0.13445378151260504,3,4.4894750515304445,0.2813014450815584,0,-0.14670065916481745,2.088545753647586,0
0.15126050420168066,0,0,0,0,0.0,0.0,0
0.15126050420168066,1,1.9984320522485752,0.07917911685253891,0,-0.019577967748410585,0.5232322034094808,0
0.15126050420168066,2,3.493730052839414,0.1978546805926757,0,-0.07827065662044141,1.3064317071309197,0
0.15126050420168066,3,4.486681661411088,0.31637515576437836,0,-0.16620671210173343,2.086885785627787,0
0.1680672268907563,0,0,0,0,0.0,0.0,0
0.1680672268907563,1,1.9980643213726448,0.08797140249917604,0,-0.021879987117861766,0.5231409959749093,0
0.1680672268907563,2,3.4922600956293905,0.21980079297521302,0,-0.08746245399639285,1.305793686760971,0
0.1680672268907563,3,4.483560778735187,0.3514174928046065,0,-0.18569251921607277,2.085019053893574,0
0.18487394957983191,0,0,0,0,0.0,0.0,0
0.18487394957983191,1,1.9976579082147725,0.09676198503017376,0,-0.024181582893399778,0.5230396605943646,0
0.18487394957983191,2,3.490635746904538,0.2417349934877383,0,-0.0966487491287309,1.3050849304952545,0
0.18487394957983191,3,4.480112783629157,0.3864249855212787,0,-0.20515570880878498,2.082945816641996,0
0.20168067226890757,0,0,0,0,0.0,0.0,0
0.20168067226890757,1,1.9972128206430673,0.10555069426092474,0,-0.026482710516462338,0.5229281992296833,0
0.20168067226890757,2,3.488857108848845,0.26365609411519636,0,-0.10582896431373379,1.3043054873337545,0
0.20168067226890757,3,4.476338096023032,0.42139416805263386,0,-0.22459391256442984,2.080666360615633,0
0.2184873949579832,0,0,0,0,0.0,0.0,0
0.2184873949579832,1,1.9967290672743705,0.11433736004308855,0,-0.028783325437457874,0.5228066140387464,0
0.2184873949579832,2,3.4869242933481535,0.2855629077481761,0,-0.11500252229114216,1.3034554111622951,0
0.2184873949579832,3,4.472237175587651,0.4563215798351136,0,-0.24400476590519693,2.0781810010575463,0
0.23529411764705882,0,0,0,0,0.0,0.0,0
0.23529411764705882,1,1.9962066574740882,0.12312181226788567,0,-0.031083383116796037,0.5226749073754289,0
0.23529411764705882,2,3.4848374219819918,0.3074542482649568,0,-0.12416884628662128,1.3025347607484523,0
0.23529411764705882,3,4.467810521665894,0.49120376608152716,0,-0.2633859083445551,2.0754900816616058,0
0.25210084033613445,0,0,0,0,0.0,0.0,0
0.25210084033613445,1,1.9956456013560107,0.13190388086939078,0,-0.03338283902561434,0.5225330817895543,0
0.25210084033613445,2,3.482596626014706,0.329328930613481,0,-0.13332736005350987,1.3015435997371894,0
